,0,1
153,114.15,22.56
154,114.16,22.56
155,114.17,22.56
156,114.18,22.56
157,114.16,22.57
158,114.17,22.57
159,114.14,22.55
160,114.13,22.55
161,114.12,22.55
162,114.11,22.55
163,114.11,22.54
164,114.1,22.54
165,114.1,22.55
166,114.13,22.56
167,114.12,22.56
168,114.11,22.56
169,114.1,22.56
170,114.09,22.55
171,113.9,22.53
172,113.93,22.58
173,113.87,22.59
174,113.88,22.55
175,113.89,22.53
176,113.93,22.59
177,113.92,22.59
178,113.86,22.61
179,113.87,22.61
180,113.87,22.6
181,113.91,22.53
182,113.91,22.52
183,113.9,22.52
184,113.9,22.51
185,114.03,22.52
186,114.07,22.52
187,114.06,22.52
188,114.08,22.56
189,114.09,22.56
190,114.11,22.57
191,114.1,22.57
192,114.09,22.54
193,114.02,22.56
194,114.02,22.55
195,114.03,22.56
196,114.03,22.55
197,113.89,22.52
198,113.95,22.5
199,113.95,22.49
200,114.05,22.57
201,114.06,22.57
202,114.07,22.57
203,114.08,22.57
204,114.09,22.57
205,113.89,22.51
206,113.88,22.51
207,113.88,22.5
208,113.87,22.5
209,113.89,22.5
210,114.05,22.55
211,114.02,22.52
212,113.94,22.6
213,113.93,22.6
214,113.93,22.61
215,113.93,22.62
216,113.93,22.63
217,113.94,22.63
218,113.94,22.64
219,113.86,22.56
220,113.9,22.48
221,113.9,22.49
222,113.89,22.49
223,114.12,22.54
224,114.15,22.55
225,114.13,22.57
226,114.12,22.57
227,114.11,22.58
228,113.91,22.57
229,113.98,22.53
230,114.13,22.54
231,114.19,22.56
232,114.22,22.56
233,114.23,22.56
234,114.24,22.56
235,114.24,22.57
236,114.25,22.57
237,114.25,22.56
238,114.25,22.58
239,114.24,22.58
240,114.25,22.59
241,114.26,22.59
242,114.25,22.6
243,114.24,22.6
244,114.24,22.59
245,114.23,22.59
246,114.23,22.6
247,114.22,22.61
248,114.21,22.61
249,114.2,22.61
250,114.19,22.61
251,114.18,22.61
252,114.18,22.62
253,114.17,22.62
254,114.17,22.63
255,114.16,22.63
256,114.15,22.63
257,114.15,22.62
258,114.14,22.62
259,114.13,22.62
260,114.14,22.61
261,114.13,22.61
262,114.13,22.6
263,114.12,22.61
264,114.11,22.61
265,114.11,22.62
266,114.1,22.62
267,114.1,22.63
268,114.11,22.6
269,114.11,22.59
270,114.1,22.59
271,114.1,22.58
272,114.04,22.57
273,114.15,22.59
274,114.15,22.6
275,114.16,22.61
276,114.15,22.61
277,114.16,22.62
278,114.14,22.63
279,114.13,22.63
280,114.13,22.64
281,114.12,22.6
282,113.92,22.61
283,113.92,22.62
284,113.92,22.63
285,113.91,22.63
286,113.91,22.64
287,113.91,22.65
288,113.9,22.65
289,113.9,22.66
290,113.91,22.66
291,113.92,22.66
292,113.92,22.67
293,113.92,22.68
294,113.92,22.69
295,113.93,22.69
296,113.93,22.68
297,113.92,22.65
298,113.92,22.64
299,113.93,22.64
300,114.06,22.51
301,114.05,22.51
302,114.04,22.51
303,113.99,22.59
304,114.0,22.59
305,114.01,22.59
306,114.02,22.59
307,114.02,22.6
308,114.03,22.6
309,114.02,22.61
310,114.01,22.61
311,114.01,22.6
312,114.0,22.6
313,113.99,22.6
314,113.98,22.6
315,113.96,22.6
316,113.97,22.6
317,114.02,22.62
318,114.03,22.62
